fic,date,portret,portretx,n,country,currency
SGP,1987-10-01,0.0008757036,0.0008757036,15,SINGAPORE,SGD
SGP,1987-10-02,0.0139929519,0.0139929519,15,SINGAPORE,SGD
SGP,1987-10-05,0.0210381469,0.0210381469,15,SINGAPORE,SGD
SGP,1987-10-06,0.0143515889,0.0143515889,15,SINGAPORE,SGD
SGP,1987-10-07,0.0041080404,0.0041080404,15,SINGAPORE,SGD
SGP,1987-10-08,-0.000933794,-0.000933794,15,SINGAPORE,SGD
SGP,1987-10-09,0.0046145835,0.0046145835,15,SINGAPORE,SGD
SGP,1987-10-12,-0.002364402,-0.002364402,15,SINGAPORE,SGD
SGP,1987-10-13,-0.002161944,-0.002161944,15,SINGAPORE,SGD
SGP,1987-10-14,-0.002238062,-0.002238062,15,SINGAPORE,SGD
SGP,1987-10-15,-0.0053162,-0.0053162,15,SINGAPORE,SGD
SGP,1987-10-16,-0.028967811,-0.028967811,15,SINGAPORE,SGD
SGP,1987-10-19,-0.134642884,-0.134642884,15,SINGAPORE,SGD
SGP,1987-10-20,-0.293408777,-0.293408777,15,SINGAPORE,SGD
SGP,1987-10-22,0.1410139284,0.1410139284,15,SINGAPORE,SGD
SGP,1987-10-23,-0.128064108,-0.128064108,15,SINGAPORE,SGD
SGP,1987-10-26,-0.089939913,-0.089939913,15,SINGAPORE,SGD
SGP,1987-10-27,-0.015399175,-0.015399175,15,SINGAPORE,SGD
SGP,1987-10-28,-0.074943816,-0.074943816,15,SINGAPORE,SGD
SGP,1987-10-29,-0.014440326,-0.014440326,15,SINGAPORE,SGD
SGP,1987-10-30,0.0577821462,0.0564488673,15,SINGAPORE,SGD
SGP,1987-11-02,0.0711628374,0.0711628374,15,SINGAPORE,SGD
SGP,1987-11-03,-0.003818903,-0.003818903,15,SINGAPORE,SGD
SGP,1987-11-04,-0.032217229,-0.032217229,15,SINGAPORE,SGD
SGP,1987-11-05,-0.027140902,-0.027140902,15,SINGAPORE,SGD
SGP,1987-11-06,0.0069440893,0.0069440893,15,SINGAPORE,SGD
SGP,1987-11-09,0.0016460154,0.0016460154,15,SINGAPORE,SGD
SGP,1987-11-10,-0.024938385,-0.024938385,15,SINGAPORE,SGD
SGP,1987-11-11,-0.02970757,-0.02970757,15,SINGAPORE,SGD
SGP,1987-11-12,0.0237351049,0.0237351049,15,SINGAPORE,SGD
SGP,1987-11-13,0.0380127283,0.0380127283,15,SINGAPORE,SGD
SGP,1987-11-16,0.0213308577,0.0213308577,15,SINGAPORE,SGD
SGP,1987-11-17,-0.023651444,-0.023651444,15,SINGAPORE,SGD
SGP,1987-11-18,0.0118890904,0.0118890904,15,SINGAPORE,SGD
SGP,1987-11-19,-0.011075982,-0.011075982,15,SINGAPORE,SGD
SGP,1987-11-20,-0.001836473,-0.001836473,15,SINGAPORE,SGD
SGP,1987-11-23,-0.002766004,-0.002766004,15,SINGAPORE,SGD
SGP,1987-11-24,-0.019115316,-0.019115316,15,SINGAPORE,SGD
SGP,1987-11-25,0.0030031104,0.0030031104,15,SINGAPORE,SGD
SGP,1987-11-26,-0.011972599,-0.011972599,15,SINGAPORE,SGD
SGP,1987-11-27,-0.001471186,-0.001471186,15,SINGAPORE,SGD
SGP,1987-11-30,-0.02819109,-0.02819109,15,SINGAPORE,SGD
SGP,1987-12-01,-0.020959745,-0.020959745,15,SINGAPORE,SGD
SGP,1987-12-02,0.0017755698,0.0017755698,15,SINGAPORE,SGD
SGP,1987-12-03,-0.050064745,-0.050064745,15,SINGAPORE,SGD
SGP,1987-12-04,-0.018891881,-0.018891881,15,SINGAPORE,SGD
SGP,1987-12-07,-0.044296526,-0.044296526,15,SINGAPORE,SGD
SGP,1987-12-08,0.0068078395,0.0068078395,15,SINGAPORE,SGD
SGP,1987-12-09,0.0297170082,0.0297170082,15,SINGAPORE,SGD
SGP,1987-12-10,0.0343959209,0.0335619342,15,SINGAPORE,SGD
SGP,1987-12-11,-0.025727571,-0.025727571,15,SINGAPORE,SGD
SGP,1987-12-14,0.0252167808,0.0252167808,15,SINGAPORE,SGD
SGP,1987-12-15,0.0083476504,0.0083476504,15,SINGAPORE,SGD
SGP,1987-12-16,0.0145857116,0.0145857116,15,SINGAPORE,SGD
SGP,1987-12-17,0.0132920664,0.0132920664,15,SINGAPORE,SGD
SGP,1987-12-21,0.0444673947,0.0444673947,15,SINGAPORE,SGD
SGP,1987-12-22,0.0164531341,0.0164531341,15,SINGAPORE,SGD
SGP,1987-12-23,0.0155314181,0.0155314181,15,SINGAPORE,SGD
SGP,1987-12-28,-0.009749336,-0.009749336,15,SINGAPORE,SGD
SGP,1987-12-29,-0.013191468,-0.013191468,15,SINGAPORE,SGD
SGP,1988-01-04,0.0095171369,0.0095171369,15,SINGAPORE,SGD
SGP,1988-01-06,0.0384254827,0.0384254827,15,SINGAPORE,SGD
SGP,1988-01-08,-0.022136481,-0.022136481,15,SINGAPORE,SGD
SGP,1988-01-11,-0.059302094,-0.06049832,15,SINGAPORE,SGD
SGP,1988-01-12,0.0363050813,0.0363050813,15,SINGAPORE,SGD
SGP,1988-01-13,-0.015453923,-0.015453923,15,SINGAPORE,SGD
SGP,1988-01-14,0.0057998663,0.0057998663,15,SINGAPORE,SGD
SGP,1988-01-15,0.0203469984,0.0203469984,15,SINGAPORE,SGD
