gamma,regime_source,rebalance_month,strategy,success,objective,VaR_v,theta_used,robust_norm_value,robust_penalty_component,max_weight,effective_n_assets,predicted_state,predicted_state_prob,regime_weight_max,regime_weight_argmax,message
0.06,altdata_bnmeanrank_hmm,2018-09-01,RSDR-CVaR,True,0.17637004789134883,0.07577530000000121,0.0371458239456738,0.10000000000000095,0.07429164789134823,0.10000000000000743,9.99999999999975,2,0.9991578667812526,0.9992562430113402,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.06,altdata_bnmeanrank_hmm,2018-10-01,SAA-CVaR,True,0.06916566945018322,0.04381597240102751,0.0,1.0,0.0,0.40707898604011317,2.9282932625510107,2,0.9978951100505886,0.9982039987901173,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.06,altdata_bnmeanrank_hmm,2018-10-01,DR-CVaR,True,0.1710609493301422,0.05665825799360535,0.03717347197524814,0.10981272687934218,0.08164240650349602,0.10981272687934218,9.202504957799178,2,0.9978951100505886,0.9982039987901173,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.06,altdata_bnmeanrank_hmm,2018-10-01,RS-CVaR,True,0.06916566945018324,0.04381597240102751,0.0,1.0,0.0,0.40707898604011317,2.9282932625510107,2,0.9978951100505886,0.9982039987901173,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.06,altdata_bnmeanrank_hmm,2018-10-01,RSDR-CVaR,True,0.1709143194692842,0.05665825799360535,0.03710670837460506,0.10981272687934218,0.08149577664263802,0.10981272687934218,9.202504957799178,2,0.9978951100505886,0.9982039987901173,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.06,altdata_bnmeanrank_hmm,2018-11-01,SAA-CVaR,True,0.0525353040531299,0.03413249387157904,0.0,1.0,0.0,0.373632687979145,3.670571790797412,2,0.9999148571367661,0.9998870365028876,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.06,altdata_bnmeanrank_hmm,2018-11-01,DR-CVaR,True,0.1539224939504962,0.0639095,0.03717347197524814,0.1,0.07434694395049621,0.1,9.999999999999996,2,0.9999148571367661,0.9998870365028876,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.06,altdata_bnmeanrank_hmm,2018-11-01,RS-CVaR,True,0.0525353040531299,0.03413249387157904,0.0,1.0,0.0,0.373632687979145,3.670571790797412,2,0.9999148571367661,0.9998870365028876,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.06,altdata_bnmeanrank_hmm,2018-11-01,RSDR-CVaR,True,0.15391409545970794,0.0639095,0.03716927272985401,0.1,0.07433854545970794,0.1,9.999999999999996,2,0.9999148571367661,0.9998870365028876,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.06,altdata_bnmeanrank_hmm,2018-12-01,SAA-CVaR,True,0.0525353040531299,0.03413249387157904,0.0,1.0,0.0,0.373632687979145,3.670571790797412,2,0.9999148818994439,0.999887057137412,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.06,altdata_bnmeanrank_hmm,2018-12-01,DR-CVaR,True,0.1522217439504962,0.057904699999999996,0.03717347197524814,0.1,0.07434694395049621,0.1,10.0,2,0.9999148818994439,0.999887057137412,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.06,altdata_bnmeanrank_hmm,2018-12-01,RS-CVaR,True,0.0525353040531299,0.03413249387157904,0.0,1.0,0.0,0.373632687979145,3.670571790797412,2,0.9999148818994439,0.999887057137412,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.06,altdata_bnmeanrank_hmm,2018-12-01,RSDR-CVaR,True,0.15221334699382177,0.057904699999999996,0.03716927349691092,0.1,0.07433854699382178,0.1,10.0,2,0.9999148818994439,0.999887057137412,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.06,altdata_bnmeanrank_hmm,2019-01-01,SAA-CVaR,True,0.058037310085696396,0.042555452124904795,0.0,1.0,0.0,0.46545128870945984,2.7546815654426346,2,0.9992267600475949,0.9993136511720964,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.06,altdata_bnmeanrank_hmm,2019-01-01,DR-CVaR,True,0.1573355939504962,0.06390950000000001,0.03717347197524814,0.1,0.07434694395049621,0.1,10.0,2,0.9992267600475949,0.9993136511720964,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.06,altdata_bnmeanrank_hmm,2019-01-01,RS-CVaR,True,0.058037310085696396,0.042555452124904795,0.0,1.0,0.0,0.46545128870945984,2.7546815654426346,2,0.9992267600475949,0.9993136511720964,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.06,altdata_bnmeanrank_hmm,2019-01-01,RSDR-CVaR,True,0.15728456601265756,0.06390950000000001,0.03714795800632882,0.1,0.07429591601265759,0.1,10.0,2,0.9992267600475949,0.9993136511720964,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.06,altdata_bnmeanrank_hmm,2019-02-01,SAA-CVaR,True,0.058037310085696396,0.042555452124904795,0.0,1.0,0.0,0.46545128870945984,2.7546815654426346,2,0.9613290125655868,0.9677337871991385,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.06,altdata_bnmeanrank_hmm,2019-02-01,DR-CVaR,True,0.1537343606171629,0.057904699999999996,0.03717347197524814,0.1,0.07434694395049621,0.1,10.0,2,0.9613290125655868,0.9677337871991385,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.06,altdata_bnmeanrank_hmm,2019-02-01,RS-CVaR,True,0.058037310085696396,0.042555452124904795,0.0,1.0,0.0,0.46545128870945984,2.7546815654426346,2,0.9613290125655868,0.9677337871991385,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.06,altdata_bnmeanrank_hmm,2019-02-01,RSDR-CVaR,True,0.15133546630256245,0.057904699999999996,0.03597402481794792,0.1,0.07194804963589578,0.1,10.0,2,0.9613290125655868,0.9677337871991385,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.06,altdata_bnmeanrank_hmm,2019-03-01,SAA-CVaR,True,0.04794800374561432,0.036695912304675546,0.0,1.0,0.0,0.5220744254238905,2.8327932607412225,2,0.981083627860538,0.9841951366275932,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.06,altdata_bnmeanrank_hmm,2019-03-01,DR-CVaR,True,0.14444966061716286,0.0560616,0.03717347197524814,0.1,0.07434694395049621,0.1,9.999999999999996,2,0.981083627860538,0.9841951366275932,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.06,altdata_bnmeanrank_hmm,2019-03-01,RS-CVaR,True,0.04794800374561432,0.036695912304675546,0.0,1.0,0.0,0.5220744254238905,2.8327932607412225,2,0.981083627860538,0.9841951366275932,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.06,altdata_bnmeanrank_hmm,2019-03-01,RSDR-CVaR,True,0.14327461732586927,0.0560616,0.036585950329601345,0.1,0.07317190065920263,0.1,9.999999999999996,2,0.981083627860538,0.9841951366275932,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.06,altdata_bnmeanrank_hmm,2019-04-01,SAA-CVaR,True,0.04794800374561432,0.036695912304675546,0.0,1.0,0.0,0.5220744254238905,2.8327932607412225,2,0.966477537268405,0.9720240081378264,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
