,state,crisis,p_crisis,p_state0,p_state1,p_state2,p_state3,p_state4,p_state5
2017-11-01,2,0,6.955923626053097e-07,1.0664715363376733e-28,0.0005271270490910454,0.9994721773506156,6.955923626053097e-07,2.075424614346336e-20,8.110730634540644e-12
2017-12-01,2,0,1.6363252883635266e-07,1.0421346086036868e-26,0.0005814744609308618,0.9994183618970284,1.6363252883635266e-07,3.397445179118954e-21,9.409673729087742e-12
2018-01-01,2,0,7.625486529686318e-07,1.5914247944842948e-26,0.0016236953479892297,0.9983755420763314,7.625486529686318e-07,6.925843867615446e-21,2.7087052171942184e-11
2018-02-01,2,0,4.419116313950948e-06,9.212516121006579e-27,0.00019612474287874126,0.9997994561385422,4.419116313950948e-06,1.4987707973074085e-19,2.213946996456547e-12
2018-03-01,2,0,1.3482827890961055e-07,2.6505104104630313e-25,0.0010855387436872767,0.9989143264178773,1.3482827890961055e-07,1.4450867552602593e-21,1.0296999272037441e-11
2018-04-01,2,0,8.766751827662815e-06,7.336338688759495e-26,0.015298977065457088,0.9846922550038575,8.766751827662815e-06,1.2377368974487661e-19,1.178991053928718e-09
2018-05-01,2,0,4.7094677158710475e-06,2.3252895672099307e-25,0.002146326601544065,0.997848963369962,4.7094677158710475e-06,6.926190534189673e-20,5.605646984078883e-10
2018-06-01,2,0,3.6483412572487613e-07,5.768448318044491e-26,0.0009525342729588787,0.9990471007753798,3.6483412572487613e-07,2.463964558618129e-19,1.1732847228341404e-10
2018-07-01,2,0,6.220585764856321e-07,3.2844926956712895e-25,0.0005309957312499837,0.9994683821912057,6.220585764856321e-07,1.8767122007942747e-19,1.8875239972484117e-11
2018-08-01,2,0,1.7373075517347478e-07,2.7524408881864173e-25,0.0008419594629819425,0.9991578667813417,1.7373075517347478e-07,3.7517757946275895e-21,2.50103412083486e-11
2018-09-01,2,0,5.779607723259726e-07,7.965791185069294e-27,0.002104311818909034,0.997895110050573,5.779607723259726e-07,7.530979045928056e-20,1.6972999211145107e-10
2018-10-01,2,0,1.2759845730453696e-05,3.3510696630212584e-25,7.238301627622096e-05,0.9999148571369687,1.2759845730453696e-05,2.0183146645999568e-18,1.227144515456964e-12
2018-11-01,2,0,1.003615897385782e-06,4.03281353524918e-24,8.411448452948952e-05,0.9999148818994917,1.003615897385782e-06,4.69965211418297e-22,1.293172699900587e-13
2018-12-01,2,0,0.00024117426078697245,8.057416686903706e-25,0.000532065691045438,0.9992267600473996,0.00024117426078697245,2.141232347194416e-19,5.727766499643526e-13
2019-01-01,2,0,0.0008942448572648067,1.422126195942767e-22,0.03777673870270189,0.961329012565554,0.0008942448572648067,6.774370181715488e-21,3.874445294676322e-09
2019-02-01,2,0,4.043750286575125e-05,4.3940733949148784e-26,0.018875899597492304,0.9810836278605891,4.043750286575125e-05,5.1592392264353234e-18,3.5039104989780664e-08
2019-03-01,2,0,4.0090613347209594e-05,1.0192204714947155e-22,0.03348231369512452,0.966477537268277,4.0090613347209594e-05,6.301023323937924e-17,5.8423118637304537e-08
2019-04-01,2,0,5.328800835452241e-05,8.134820572946601e-22,0.03743343807832923,0.9625131126396556,5.328800835452241e-05,3.60637791324266e-16,1.612736277215346e-07
2019-05-01,2,0,0.006618589709622671,7.064576716283405e-20,0.003324232499016345,0.9900571771574734,0.006618589709622671,1.354251554951558e-15,6.340292399908876e-10
2019-06-01,2,0,0.05217472431726354,2.449592546240828e-18,0.18553583273786797,0.7622893029038275,0.05217472431726354,7.693650184606573e-18,1.4004123672494544e-07
2019-07-01,2,0,0.0003917635400502437,3.965767741529846e-23,0.060048335761704555,0.9395598062162125,0.0003917635400502437,1.2889824325022144e-16,9.448203532300085e-08
2019-08-01,2,0,0.001267724995892148,5.194175054828153e-21,0.015205060460413911,0.9835272111028741,0.001267724995892148,9.670371484901224e-17,3.440766859994988e-09
2019-09-01,2,0,2.7906227268937177e-05,1.5278751574502974e-22,0.002304887572754344,0.9976672046380901,2.7906227268937177e-05,3.4853273783066335e-18,1.5619720430113693e-09
